,ciudad,cliente,cluster,recomendados
3,TUNJA,223798,3401.0,CAMISETA MANGA LARGA
4,TUNJA,223798,3401.0,BOTAS
0,TUNJA,224077,3401.0,CAMISETA MANGA CORTA
1,TUNJA,224077,3401.0,CAMISA MANGA LARGA
0,TUNJA,226779,3401.0,BUZO
1,TUNJA,226779,3401.0,DENIM
2,TUNJA,226779,3401.0,CAMISETA MANGA CORTA
3,TUNJA,226779,3401.0,CAÑA LARGA
4,TUNJA,226779,3401.0,CHAQUETA
0,TUNJA,228495,3401.0,CHAQUETA
1,TUNJA,228495,3401.0,DENIM
2,TUNJA,228495,3401.0,CAMISA MANGA LARGA
3,TUNJA,228495,3401.0,AGUA DE LINOS
4,TUNJA,228495,3401.0,BABERO
0,TUNJA,240764,3401.0,SUDADERA
1,TUNJA,240764,3401.0,CAMISETA MANGA CORTA
2,TUNJA,240764,3401.0,CHAQUETA
3,TUNJA,240764,3401.0,DENIM
4,TUNJA,240764,3401.0,SHORT
0,TUNJA,241143,3401.0,SHORT
1,TUNJA,241143,3401.0,CHAQUETA
2,TUNJA,241143,3401.0,CHALECO
3,TUNJA,241143,3401.0,BUZO
4,TUNJA,241143,3401.0,TENIS
0,TUNJA,249133,3401.0,CUIDADO PERSONAL
1,TUNJA,249133,3401.0,CONJUNTO CORTO
2,TUNJA,249133,3401.0,TENIS
3,TUNJA,249133,3401.0,BUZO
4,TUNJA,249133,3401.0,SUDADERA
0,TUNJA,258721,3401.0,CUIDADO PERSONAL
1,TUNJA,258721,3401.0,CHAQUETA
2,TUNJA,258721,3401.0,MEDIA ANTALON
3,TUNJA,258721,3401.0,CAMISA MANGA SISA
4,TUNJA,258721,3401.0,MINIFALDA
0,TUNJA,263186,3401.0,CAMISA MANGA LARGA
1,TUNJA,263186,3401.0,CONJUNTO LARGO
2,TUNJA,263186,3401.0,CAMISA MANGA SISA
3,TUNJA,263186,3401.0,TENIS
0,TUNJA,265968,3401.0,CHAQUETA
0,TUNJA,266120,3401.0,CAMISETA MANGA CORTA
1,TUNJA,266120,3401.0,CAMISA MANGA LARGA
2,TUNJA,266120,3401.0,CHAQUETA
3,TUNJA,266120,3401.0,BUZO
4,TUNJA,266120,3401.0,TENIS
0,TUNJA,266424,3401.0,BUZO
1,TUNJA,266424,3401.0,CHAQUETA
2,TUNJA,266424,3401.0,VESTIDO MANGA LARGA
3,TUNJA,266424,3401.0,DENIM
4,TUNJA,266424,3401.0,BOXER
0,TUNJA,266686,3401.0,CAÑA CORTA
1,TUNJA,266686,3401.0,CAMISA MANGA LARGA
2,TUNJA,266686,3401.0,CHAQUETA
3,TUNJA,266686,3401.0,DENIM
0,TUNJA,275949,3401.0,CAMISETA MANGA CORTA
1,TUNJA,275949,3401.0,CHAQUETA
2,TUNJA,275949,3401.0,CONJUNTO LARGO
3,TUNJA,275949,3401.0,BUZO
4,TUNJA,275949,3401.0,TENIS
0,TUNJA,286460,3401.0,OTROS
1,TUNJA,286460,3401.0,CAMISETA MANGA LARGA
2,TUNJA,286460,3401.0,CHAQUETA
3,TUNJA,286460,3401.0,CAMISETA MANGA CORTA
4,TUNJA,286460,3401.0,TENIS
0,TUNJA,288907,3401.0,SUDADERA
1,TUNJA,288907,3401.0,TENIS
2,TUNJA,288907,3401.0,CAMISA MANGA LARGA
3,TUNJA,288907,3401.0,CUIDADO PERSONAL
4,TUNJA,288907,3401.0,COBIJA SENCILLA
0,TUNJA,289904,3401.0,PANTALON
1,TUNJA,289904,3401.0,TENIS
2,TUNJA,289904,3401.0,SHORT
3,TUNJA,289904,3401.0,SUDADERA
0,TUNJA,293726,3401.0,CAMISA MANGA LARGA
1,TUNJA,293726,3401.0,CAMISETA MANGA CORTA
2,TUNJA,293726,3401.0,PANTALON
3,TUNJA,293726,3401.0,CAMISETA MANGA LARGA
4,TUNJA,293726,3401.0,BOTAS
0,TUNJA,295257,3401.0,CUIDADO PERSONAL
1,TUNJA,295257,3401.0,DENIM
2,TUNJA,295257,3401.0,TENIS
3,TUNJA,295257,3401.0,OTROS
4,TUNJA,295257,3401.0,CAMISA MANGA CORTA
36,TUNJA,305482,3401.0,CAMISETA MANGA CORTA
61,TUNJA,305482,3401.0,DENIM
138,TUNJA,305482,3401.0,TENIS
98,TUNJA,305482,3401.0,PANTALON
31,TUNJA,305482,3401.0,CAMISA MANGA LARGA
36,TUNJA,307498,3401.0,CAMISETA MANGA CORTA
61,TUNJA,307498,3401.0,DENIM
138,TUNJA,307498,3401.0,TENIS
98,TUNJA,307498,3401.0,PANTALON
31,TUNJA,307498,3401.0,CAMISA MANGA LARGA
0,TUNJA,313324,3401.0,BUZO
1,TUNJA,313324,3401.0,ZAPATO
2,TUNJA,313324,3401.0,PANTALON
